stop_id,stop_name,stop_lat,stop_lon,stop_desc,zone_id,stop_url,stop_code,wheelchair_boarding,location_type,parent_station
481,Prof. Bernard,44.769984,-0.616209,,33192,,PBE42R,1,0,BPBERN
483,Acacias,44.885297,-0.529284,,33249,,ACA03R,1,0,BACACI
487,Palombes,44.864284,-0.532829,,33249,,PALO62,0,0,BPALOMB
488,Prof. Bernard,44.769926,-0.616319,,33192,,PBE42A,1,0,BPBERN
490,Boncour,44.813031,-0.664955,,33318,,BON80R,1,0,BBONCO
493,Etangs,44.831142,-0.537177,,33167,,ETA06A,0,0,BETANG
494,Jean Prat,44.932457,-0.503452,,33003,,PRA92A,1,0,BJPRAT
495,Montherlant (che de Leysotte),44.794766,-0.580744,,33550,,MON21R,1,0,BMONTH
502,Hameau de la Reine,44.781695,-0.62024,,33192,,REI42A,1,0,BREINE
503,Parc Sourreil,44.792132,-0.581943,,33550,,SOU21R,1,0,BPSOURR
504,Cèdres,44.830037,-0.516401,,33167,,CED06A,1,0,BCEDRE
508,Métairie,44.896828,-0.740012,,33449,,MET71R,1,0,BMETAIE
510,Petit Peyronnet,44.931603,-0.545978,,33434,,PTP91A,0,0,BPTPEYR
513,La Paix,44.83895,-0.536225,,33167,,PAI06A,1,0,BPAIX
514,Carnot,44.796028,-0.672732,,33318,,CAR46R,1,0,BCART46
515,Rue du Réduit,44.883447,-0.59756,,33075,,RED36R,0,0,BREDUI
516,Base sous-marine,44.872898,-0.559404,,33063,,TOUR9R,1,0,BTOURVI
518,La Générale,44.763689,-0.561256,,33550,,GEN21A,1,0,BLAGEN
520,Cimetière Nord (av Périé),44.875772,-0.59021,,33075,,CNO27A,0,0,BCNORD
522,Collège Gérard Philippe,44.799501,-0.623894,,33318,,GEP36A,0,0,BGEPHIL
524,Forêt du Bourgailh,44.799731,-0.684988,,33318,,BEA46A,1,0,BBEAUSE
525,Verts Coteaux,44.834389,-0.513013,,33167,,VRT06R,1,0,BVERTC
526,Racine,44.792859,-0.584824,,33522,,RAC40A,1,0,BRACI40
531,Saint Romain,44.849247,-0.527866,,33119,,SRO27R,1,0,BSROMAI
532,Labatut,44.835273,-0.632701,,33281,,LBA49R,0,0,BLBATU
533,Procession,44.815024,-0.694525,,33281,,PRO75R,0,0,BPROCE
534,Peyronnet (côté Poste),44.827974,-0.560154,,33063,,PEY02A,1,0,BPEYRO
535,Paulin de Nole,44.954842,-0.498353,,33003,,PNO93A,0,0,BPNOLE
537,Mondenard,44.846416,-0.588016,,33063,,MON10A,0,0,BMONDE
538,Barthès,44.76894,-0.602326,,33192,,BAR80R,1,0,BBARTHS
539,Fougnet,44.772579,-0.712411,,33318,,FOU46A,0,0,BFOUGN
541,Frères Lumière,44.796474,-0.53259,,33039,,LUM02R,1,0,BFLUMI
542,Noutary,44.815994,-0.542212,,33039,,NOU02A,0,0,BNOUTA
545,Puyo,44.89834,-0.746492,,33449,,PUY53A,0,0,BPUYO
546,Antoune,44.862933,-0.654122,,33162,,ANT52A,0,0,BANTOUN
547,Cours d'Ornano,44.832736,-0.613538,,33281,,COR12A,0,0,BCORNAN
548,Parc de l'Etoile,44.822847,-0.497817,,33065,,PAE07R,1,0,BPETOIL
549,Tivoli (bd Pierre 1er),44.85615,-0.591629,,33063,,TIVO9A,1,0,BTIVOLI
550,Lauba,44.895702,-0.731149,,33449,,LAU71A,0,0,BLAUBA
551,Arsonval,44.779681,-0.658491,,33318,,ARS44A,1,0,BARSON
553,Jean Cocteau,44.875947,-0.50237,,33249,,COC66R,1,0,BCOCT66
554,Victor Hugo,44.895859,-0.735078,,33449,,VHU71A,1,0,BVHUG71
